Canonical ID,Seed Key,Title,Material Type,Category Key,Quantity,Unit,Condition,Source Type,Is Free,Price NIS,Owner Email,Owner Public Name,Owner Kind,Owner City,Pickup Allowed,Delivery Allowed,Description Draft,Suggested Uses,Tags,Aliases,Source File,Source Row,Source Audit ID,Original Price Raw,Pricing Resolution,Pricing Basis,Condition Basis,Availability Source,Source Note,Image Status,Source Image Ref,Extracted Image Files,Image Mapped From Source,Image Gap,Image Hosting Required,Canonicalization Confidence,Canonical Data Ready,Owner Assignment Basis
MAT-003,mat-003,ESP32 Type-C,ESP32,electronics-components,4,pieces,GOOD,WORKSHOP_SURPLUS,False,40,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable ESP32 listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Robotics, sensor prototypes, automation, and learning projects.",esp32|microcontroller,,Graduation_Project_Parts .xlsx,4,MAT-003,40,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image21.jpg,materials/MAT-003_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-005,mat-005,Stepper Motor NEMA23 with coupler,Stepper Motor,motors-mechanical,1,pieces,GOOD,WORKSHOP_SURPLUS,False,50,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable Stepper Motor listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Robotics, motion systems, CNC-style prototypes, and mechanical builds.",motor|robotics,,Graduation_Project_Parts .xlsx,6,MAT-005,50,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image22.jpg,materials/MAT-005_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-008,mat-008,A4988 Stepper Motor Driver,A4988 Stepper Motor Driver,electronics-components,1,pieces,GOOD,WORKSHOP_SURPLUS,False,10,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable A4988 Stepper Motor Driver listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Motor control, robot motion, and automation prototypes.",motor|robotics,,Graduation_Project_Parts .xlsx,9,MAT-008,10,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image8.jpg,materials/MAT-008_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-009,mat-009,Metal Robotic Arm 6-DOF,Robotic Arm,motors-mechanical,1,pieces,GOOD,WORKSHOP_SURPLUS,False,550,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,False,Reusable Robotic Arm listing prepared from documented graduation-project hardware data. Source note: عليها تعديلات ميكانيكية لتحسين الأداء وتصميم هيكل قوي,"Repair, prototyping, maker projects, and practical learning builds.",motors_mechanical,,Graduation_Project_Parts .xlsx,10,MAT-009,550,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,عليها تعديلات ميكانيكية لتحسين الأداء وتصميم هيكل قوي,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image27.png,materials/MAT-009_01.png,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-010,mat-010,Load Cell 1KG,Load Cell,electronics-components,3,pieces,GOOD,WORKSHOP_SURPLUS,False,15,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable Load Cell listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Repair, prototyping, maker projects, and practical learning builds.",electronics_components,,Graduation_Project_Parts .xlsx,11,MAT-010,15,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image32.jpg,materials/MAT-010_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-011,mat-011,Load Cell 20KG,Load Cell,electronics-components,1,pieces,GOOD,WORKSHOP_SURPLUS,False,10,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable Load Cell listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Repair, prototyping, maker projects, and practical learning builds.",electronics_components,,Graduation_Project_Parts .xlsx,12,MAT-011,10,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image29.jpg,materials/MAT-011_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-012,mat-012,HX711 Load Cell Amplifier,Load Cell,electronics-components,3,pieces,GOOD,WORKSHOP_SURPLUS,False,10,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable Load Cell listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Repair, prototyping, maker projects, and practical learning builds.",electronics_components,,Graduation_Project_Parts .xlsx,13,MAT-012,10,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image11.jpg,materials/MAT-012_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-013,mat-013,8 Pin Connector,Connector,electronics-components,6,pieces,GOOD,WORKSHOP_SURPLUS,False,5,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable Connector listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Circuit wiring, prototyping, repair, and classroom electronics.",connector|wiring,,Graduation_Project_Parts .xlsx,14,MAT-013,5,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image2.jpg,materials/MAT-013_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-014,mat-014,4 Pin Connector,Connector,electronics-components,1,pieces,GOOD,WORKSHOP_SURPLUS,False,2,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable Connector listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Circuit wiring, prototyping, repair, and classroom electronics.",connector|wiring,,Graduation_Project_Parts .xlsx,15,MAT-014,2,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image20.jpg,materials/MAT-014_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
MAT-015,mat-015,IR Sensor,IR Sensor,electronics-components,5,pieces,GOOD,WORKSHOP_SURPLUS,False,10,user49@impactloop.demo,ورشة الإبداع لتدوير الإلكترونيات,ORGANIZATION,قلقيلية,True,True,Reusable IR Sensor listing prepared from documented graduation-project hardware data. Suitable for practical prototyping and learning builds.,"Measurement, monitoring, robotics, and smart-device prototypes.",sensor,,Graduation_Project_Parts .xlsx,16,MAT-015,10,SOURCE_NORMALIZED,Normalized directly from source quantity/price fields.,DEMO_DEFAULT_GOOD,AVAILABLE,,CENTER_OF_IMAGE_ANCHOR_V2,xl/media/image5.jpg,materials/MAT-015_01.jpg,True,False,True,HIGH,True,SOURCE_BATCH + SOFT_AFFINITY; category is not a restriction.
